Observe as frases a seguir e assinale a alternativa incorreta quanto aos pronomes destacados.,AQUELAS mulheres fizeram muitas compras durante a excursão; ELAS trouxeram presentes para todos da família.,Os meninos da instituição receberam dois uniformes CADA.,O sofá QUE compraram veio com um defeito aparente e vai ter que ser trocado com urgência.,Esta é a babá a QUEM me referi no telefone para cuidar do seu bebê.,,B
"Em se tratando de concordância nominal, indique a alternativa incorreta.",As novidades na loja de brinquedo custam cara.,"Pessoas morrerão, mas nenhumas por negligência médica.","Haja vista o número de participantes, foi mudado o local do evento.",Bastantes presentes foram distribuídos na instituição de caridade.,,A
"Assinale a alternativa que completa corretamente as lacunas da frase a seguir. “Havia um ____ entre os dois, de tal modo que ____ se encontravam e todos no escritório notavam o ____ de tantos olhares.”",quê / mau / por que,que / mal / porque,quê / mal / porquê,que / mal / porquê,,C
"Em qual alternativa abaixo o elemento composto é invariável, isto é, não é flexionado no plural?",Tecido verde-abacate.,Roupa azul-escura.,Guerra franco-alemã.,Pé-de-moleque.,,A
"Quanto ao uso de “nenhum” e “nem um”, indique a alternativa correta.",Não poderei te entregar documento nem um.,Eu não tinha nenhuma moeda para comprar uma água naquele calor de matar.,"Naquele velório, os parentes não derrubaram nem uma lágrima sequer.",Não vou te entregar coisa nem uma.,,C
"Quanto ao pronome, aponte a alternativa correta.","A diretora falou CONOSCO MESMOS, ainda na sala de aula.","SUA EXCELÊNCIA, o Deputado Almir Silva, poderá atendê-los na sexta-feira.",Os alunos levavam CONTIGO os livros no final de semana.,Não deve mais haver dúvidas ENTRE TU E EU.,,B
"Quanto ao significado das palavras parônimas, assinale a alternativa incorreta.",Absolver – perdoar.,Costumar – ter por hábito.,Cumprimento – saudação.,Dispensa – lugar onde se guardam mantimentos.,,D
Assinale a alternativa em que o verbo da segunda coluna está correto quanto à indicação do número e pessoa em relação ao verbo da primeira.,Partir – Tu partistes.,Tiver – Vós tinhas.,Decidir – Vós decidireis.,Haver – Nós hajas.,,C
"De acordo com os pronomes de tratamento, assinale a alternativa correta.",Vossa Reverendíssima – usado para imperadores.,Vossa Eminência – usado para cardeais.,Vossa Majestade – usado para príncipes.,Vossa Santidade – usado para padres.,,B
"Em cada série de palavras paroxítonas, de acordo com as novas regras ortográficas, apenas em uma das alternativas todas deveriam ser acentuadas. Assinale-a.",Amavel / Fizesse / Jiboia.,Femur / Libido / Fossil.,Plancton / Humus / Bençãos.,Ideia / Aldeia / Forum.,,C
