"O número de letras e o de fonemas das palavras a seguir, está corretamente apresentado entre os parênteses em uma das alternativas apenas. Aponte-a.",Aldeia (6 letras e 5 fonemas).,Dança (5 letras e 5 fonemas).,Hoje (4 letras e 3 fonemas).,Fixo (4 letras e 4 fonemas).,,C
Marque a alternativa em que todas as palavras estão corretamente separadas em sílabas.,MO–Í–DO / DU–E–LO.,SÉ–RI–E / PO–E–TA.,VIÚ–VA / CAA–TIN–GA.,OCCI–PI–TAL / O–BCE–CA–DO.,,A
"Dos verbos abaixo, um é irregular, aponte-o.",Andar.,Dar.,Comprar.,Jogar.,,B
Qual das palavras a seguir é um exemplo de Hibridismo?,Digital.,Livreiro.,Sideral.,Sociólogo.,,D
A palavra cujo prefixo dá a ideia de aproximação é,abjurar.,adjacente.,desleal.,antedatar.,,B
Classifique a conjunção destacada quanto a sua função. “Os alunos eficientes leem e escrevem muito.”,adversativa.,alternativa.,aditiva.,explicativa.,,C
"Em “Nosso filho chegou atrasado.”, o predicado é classificado como",nominal.,verbal.,deverbal.,verbo-nominal.,,D
"Na oração “A bola entrou como um raio.”, a figura de linguagem existente na oração é uma",comparação.,catacrese.,metonímia.,perífrase.,,A
"Observe o texto a seguir. “Sem alegria nem cuidado__nosso pai encalçou o chapéu e decidiu um adeus para a gente__ Nem falou outras palavras__não pegou matula nem trouxa__não fez a alguma recomendação__” (Guimarães Rosa)  Os sinais de pontuação que preenchem corretamente as lacunas do texto são, respectivamente,",vírgula – ponto – vírgula – vírgula – ponto.,ponto – vírgula – ponto – vírgula – ponto.,vírgula – vírgula – ponto – vírgula – dois pontos.,ponto – vírgula – vírgula e ponto – ponto – dois pontos.,,A
A forma nominal “partindo” é,infinitivo impessoal.,infinitivo pessoal.,gerúndio.,particípio.,,C
"Aponte a alternativa que contém os termos que preenchem, correta e respectivamente, as lacunas abaixo. “A ________ em razão da aproximação do furacão Sandy provoca uma grande ______ na população americana e a deixa ______ quanto ao porvir.”",espectativa / tenção / exitante,espectativa / tensão / exitante,expectativa / tenção / hezitante,expectativa / tensão / hesitante,,D
"Segundo o novo acordo ortográfico, marque o vocábulo ortografado incorretamente.",Balaústre.,Amiúde.,Baía.,Boiúno.,,D
"Assinale a alternativa em que as letras contidas entre parênteses completam, de forma correta, as palavras a seguir.",Pont__agudo / Rol__mã / M__x__rico / P__leiro (e / i / e / i / u).,Jab__ticaba / Um__decer / Irr__quieto / B__eiro (u / e / e / u).,C__rtume / T__ssir / Nód__a / Ant__braço (o / o / o / e).,__nvólucro / C__rtiça / P__lir / Card__al (e / o / o / e).,,B
"Com relação aos adjetivos e às formas do superlativo absoluto sintético, assinale a alternativa incorreta.",Pequeno – mínimo.,Voraz – voracíssimo.,Acre – acrérrimo.,Manso – mansuetíssimo.,,C
Assinale alternativa em que foi empregada a prosopopeia.,Um vento curioso percorria todo o ambiente.,"“Moça linda, bem tratada, três séculos de família, burra como uma porta: um amor.” (Mário de Andrade)","“Rios te correrão dos olhos, se chorares!” (Olavo Bilac)",E pela paz derradeira todos os sofrimentos terão fim.,,A
"Com relação aos adjetivos pátrios, assinale a alternativa incorreta.",Nem todo paulista é paulistano.,Nem todo fluminense é carioca.,Nem todo soteropolitano é baiano.,Quem nasce em Três Corações/MG é tricordiano.,,C
Em qual sequência a seguir todas as sílabas tônicas estão bem indicadas?,GraTUIto / CeleiRO / SÊnior / AsteRISco / ViVIdos.,VaLIdo / TROMpas / ProfiLAxia / IntoXIcar / ERUdito.,InteRIM / PROvida / VÍvidos / FerVIdo / GarRUla.,ForMIga / SUtil / ExTIRpar / PasseiAM / TalveZES.,,C
"Com relação à colocação pronominal, assinale a alternativa incorreta.",Eu não devo lhe enviar os resultados.,Havia me informado o ocorrido.,Parece a mim que ela não vem.,Eu não devo-lhe encaminhar os relatórios.,,D
Na palavra paSSo as letras em destaque são classificadas como,encontro consonantal.,ditongo.,hiato.,dígrafo.,,D
"Na oração “Você já sabe bastante, PORÉM deve estudar mais.” A palavra em destaque é classificada como",um verbo.,uma conjunção.,um artigo.,uma preposição.,,B
